x	y	max
18	4	15.656
4	1	1.652
7	8	74.484
20	3	32.868
22	2	169.774
13	6	0.499
22	9	125.661
15	16	80.077
14	20	2.52
17	23	0.671
2	13	2.075
17	17	2.466
13	1	123.456
14	24	27.136
16	7	2.699
18	11	4.595
17	6	1.608
2	10	0.899
9	12	5.147
22	3	162.112
4	4	3.518
13	10	0.576
3	15	0.642
22	0	171.03
4	7	0.678
16	2	11.509
19	3	27.676
6	19	4.298
11	6	2.117
15	22	0.957
14	19	1.02
0	14	9.892
15	17	2.396
5	1	1.974
15	18	1.334
10	20	4.759
16	18	1.107
16	8	122.324
10	6	1.69
1	12	0.661
2	18	0.805
0	12	16.198
19	15	0.722
11	22	1.042
19	11	4.662
17	21	1.319
15	3	3.176
14	11	0.063
8	2	2.47
7	21	1.686
7	2	2.206
3	13	1.208
19	9	3.927
9	9	3.212
10	23	0.505
14	9	1.005
12	0	116.331
9	19	4.747
17	7	5.565
4	20	4.081
14	14	0.663
21	5	22.162
3	16	24.057
20	5	19.798
10	7	0.571
22	5	150.23
2	9	0.934
3	3	2.211
17	19	2.625
9	18	2.043
11	1	106.4
11	7	100.7
12	18	57.915
13	3	0.605
5	4	4.24
12	4	116.359
12	22	37.067
9	2	2.585
4	8	55.698
20	16	89.121
7	23	0.673
22	19	75.739
20	2	37.691
16	6	1.096
16	12	4.149
8	8	80.555
22	20	71.371
20	8	129.384
12	10	97.316
3	17	1.845
16	9	2.859
6	14	1.24
12	24	21.23
8	12	5.236
14	8	115.787
12	9	100.531
8	0	94.815
10	9	2.667
1	19	0.681
7	22	1.039
19	2	32.182
3	4	3.018
22	7	137.573
14	15	0.47
4	3	3.095
12	17	62.988
21	24	46.579
9	10	2.359
18	2	25.893
8	14	1.19
16	0	142.468
2	7	0.439
9	6	1.852
4	17	2.293
13	8	109.48
13	21	0.664
7	14	1.263
20	0	169.705
17	24	37.277
14	4	2.471
4	13	4.007
19	10	1.951
22	4	155.854
2	14	0.672
1	15	15.607
5	12	4.387
9	7	0.71
21	12	2.249
21	20	1.638
5	20	4.364
22	8	130.376
0	10	21.793
18	21	3.128
7	12	4.793
11	2	105.673
0	2	44.563
13	19	0.699
4	18	1.509
5	23	0.672
0	6	31.978
6	10	1.935
22	23	60.078
0	7	28.961
4	22	0.989
1	17	7.406
0	13	13.019
16	14	0.996
17	11	4.433
15	9	2.153
16	21	2.976
8	15	0.692
12	13	86.009
16	5	3.949
11	9	89.764
9	20	4.829
3	10	1.292
8	23	0.672
22	10	121.053
2	22	0.665
16	19	0.131
1	8	34.736
20	17	2.301
0	8	26.245
21	7	136.199
5	7	0.685
3	11	3.354
1	23	18.426
20	22	0.993
18	8	126.731
6	17	2.887
3	2	1.19
16	23	0.671
6	9	2.562
0	17	11.988
10	16	59.96
19	4	21.772
15	10	1.142
2	15	0.442
5	9	2.346
14	16	76.845
9	4	5.071
21	22	0.804
8	1	2.404
16	16	82.859
21	14	0.864
2	17	0.962
12	19	52.762
22	16	89.159
13	20	0.703
13	13	0.683
15	13	3.516
13	22	0.445
1	10	0.496
21	0	177.728
5	19	4.247
6	8	68.309
12	23	29.176
5	13	4.164
1	9	31.488
20	20	3.828
13	16	72.076
5	22	1.061
21	8	130.454
9	5	2.242
20	10	1.94
14	22	0.708
8	22	1.08
17	16	85.162
18	7	7.95
2	6	0.694
9	8	86.484
10	3	1.678
13	23	32.48
18	1	27.774
19	14	0.951
2	24	14.689
8	7	0.704
11	0	110.797
15	6	0.944
18	3	21.238
6	13	4.312
4	6	1.209
20	1	168.389
17	9	3.378
8	24	16.152
15	20	3.44
